상세주소,도로명 주소,위도,경도
도산대로 434,도산대로 434,37.524951,127.0540527
영동대로138길 12,영동대로138길 12,37.5228842,127.0567802
학동로 609 ,학동로 609 ,37.511131,127.0212507
선릉로 748 ,선릉로 748 ,37.5257607,127.0399898
압구정로72길 20,압구정로72길 20,37.5256152,127.0450132
압구정로62길 17-4,압구정로62길 17-4,37.525543,127.044317
학동로81길 7,학동로81길 7,37.5202333,127.0504647
도산대로 442 ,도산대로 442 ,37.5232512,127.0440572
도산대로81길 69,도산대로81길 69,37.526885,127.0467541
도산대로57길 8 ,도산대로57길 8 ,37.5242666,127.0412592
도산대로94길 20,도산대로94길 20,37.52383905,127.05162850644874
삼성로149길 25,삼성로149길 25,37.5231898,127.0474249
,,46.3144754,11.0480288
학동로 63길 14 ,학동로 63길 14 ,0.0,0.0
도산대로 524,도산대로 524,37.524951,127.0540527
압구정로79길 32,압구정로79길 32,37.5251528,127.04974
도산대로101길 29,도산대로101길 29,37.52690595,127.05242370440268
도산대로 508,도산대로 508,37.52402295,127.04846095975074
도산대로70길 25,도산대로70길 25,37.5221042,127.0452012
압구정로71길 9,압구정로71길 9,37.5286052,127.0461881
학동로63길 13 ,학동로63길 13 ,37.5186372,127.0449032
영동대로 138길 12,영동대로 138길 12,0.0,0.0
삼성로133길 20,삼성로133길 20,37.5194194,127.0485745
삼성로135길 42,삼성로135길 42,37.5200231,127.04567265408173
학동로63길 13,학동로63길 13,37.5186372,127.0449032
,,46.3144754,11.0480288
